batsman,bowler,inning,batsman_runs,is_wicket
SK Raina,IK Pathan,58,65,1
CH Gayle,IK Pathan,52,65,1
RG Sharma,DS Kulkarni,44,65,4
A Symonds,SK Warne,38,65,0
RV Uthappa,SR Watson,96,64,2
V Kohli,B Kumar,94,64,3
KL Rahul,Sandeep Sharma,92,64,0
CH Gayle,Sandeep Sharma,89,64,4
V Kohli,AR Patel,80,64,1
SPD Smith,DJ Bravo,73,64,3
V Kohli,Z Khan,71,64,4
RV Uthappa,Rashid Khan,70,64,2
SK Raina,MG Johnson,70,64,2
RV Uthappa,MC Henriques,69,64,1
S Badrinath,M Kartik,69,64,0
CH Gayle,R Bhatia,59,64,2
SR Watson,R Vinay Kumar,57,64,1
CH Gayle,P Awana,53,64,2
RG Sharma,MM Sharma,51,64,1
BB McCullum,JH Kallis,49,64,0
F du Plessis,Mohammed Shami,49,64,1
S Dhawan,S Nadeem,41,64,2
SA Yadav,S Gopal,40,64,1
R Dravid,I Sharma,100,63,2
KC Sangakkara,Harbhajan Singh,89,63,4
SK Raina,AR Patel,84,63,2
SS Iyer,AD Russell,82,63,5
BB McCullum,PP Chawla,71,63,4
DR Smith,JA Morkel,63,63,1
M Vijay,SR Watson,63,63,3
BB McCullum,JA Morkel,62,63,0
Yuvraj Singh,AR Patel,62,63,1
CH Gayle,KA Pollard,55,63,0
SK Raina,MM Patel,48,63,2
DA Warner,HV Patel,44,63,0
V Sehwag,R Vinay Kumar,39,63,2
AC Gilchrist,I Sharma,103,62,0
G Gambhir,R Vinay Kumar,92,62,2
S Dhawan,MM Sharma,83,62,3
S Dhawan,SR Watson,80,62,2
SV Samson,KH Pandya,69,62,0
S Dhawan,SP Narine,67,62,2
V Kohli,RP Singh,64,62,2
KL Rahul,UT Yadav,62,62,1
SA Yadav,Harbhajan Singh,61,62,1
PA Patel,A Nehra,58,62,3
SPD Smith,PP Chawla,58,62,1
MEK Hussey,JH Kallis,52,62,2
SK Raina,Z Khan,52,62,2
RG Sharma,A Nehra,46,62,2
M Vijay,RP Singh,45,62,2
MS Dhoni,UT Yadav,45,62,2
RA Tripathi,UT Yadav,43,62,0
AB de Villiers,JP Faulkner,38,62,1
JP Duminy,R Vinay Kumar,34,62,0
TM Dilshan,SL Malinga,88,61,2
RR Pant,Rashid Khan,87,61,3
SR Tendulkar,PP Chawla,86,61,4
AT Rayudu,Rashid Khan,81,61,0
CH Gayle,M Morkel,78,61,3
YK Pathan,RA Jadeja,62,61,0
KK Nair,A Mishra,61,61,2
PA Patel,UT Yadav,61,61,2
AD Russell,YS Chahal,59,61,1
SS Iyer,MJ McClenaghan,52,61,2
LMP Simmons,RA Jadeja,50,61,2
AB de Villiers,B Kumar,49,61,3
AB de Villiers,A Nehra,45,61,2
CH Gayle,R McLaren,40,61,0
CH Gayle,AR Patel,36,61,2
DA Warner,Mujeeb Ur Rahman,36,61,0
G Gambhir,SR Watson,124,60,3
V Kohli,A Nehra,95,60,6
SR Tendulkar,SB Jakati,94,60,2
CH Gayle,DJ Bravo,87,60,2
SR Watson,MM Sharma,82,60,2
V Kohli,MS Gony,82,60,1
SR Watson,NLTC Perera,69,60,1
A Symonds,A Mishra,64,60,3
CH Gayle,DS Kulkarni,63,60,3
JP Duminy,SP Narine,60,60,1
SS Iyer,DL Chahar,59,60,0
SV Samson,RA Jadeja,59,60,2
G Gambhir,AD Mathews,58,60,0
LMP Simmons,A Nehra,56,60,0
RV Uthappa,DS Kulkarni,56,60,4
KL Rahul,TA Boult,55,60,1
KD Karthik,UT Yadav,53,60,1
RV Uthappa,S Nadeem,51,60,2
