bowler,batsman,inning,is_wicket,batsman_runs
R Vinay Kumar,KD Karthik,80,3,57
M Morkel,CH Gayle,78,3,61
A Singh,R Vinay Kumar,19,3,16
DL Vettori,DPMD Jayawardene,21,3,8
KA Pollard,RV Uthappa,54,3,42
B Kumar,V Kohli,94,3,64
CH Morris,CH Gayle,66,3,43
CH Morris,G Gambhir,52,3,25
NLTC Perera,PP Chawla,12,3,8
MM Patel,R Dravid,37,3,20
JJ Bumrah,MP Stoinis,33,3,14
JJ Bumrah,MA Agarwal,16,3,2
A Ashish Reddy,RV Uthappa,30,3,20
Harbhajan Singh,AB de Villiers,111,3,103
Bipul Sharma,BB McCullum,16,3,13
SP Narine,Mandeep Singh,53,3,58
SR Watson,RA Jadeja,44,3,23
AB Dinda,V Kohli,55,3,36
MM Patel,V Sehwag,69,3,52
NM Coulter-Nile,RR Pant,28,3,17
Z Khan,IK Pathan,38,3,26
JJ Bumrah,Rashid Khan,8,3,3
YS Chahal,DA Miller,34,3,35
CH Morris,AD Russell,24,3,32
Harbhajan Singh,F du Plessis,91,3,49
SP Narine,S Nadeem,16,3,6
SL Malinga,Shakib Al Hasan,23,3,14
SL Malinga,Y Venugopal Rao,12,3,9
SL Malinga,Yuvraj Singh,42,3,40
YK Pathan,SK Raina,88,3,70
SR Watson,MS Dhoni,43,3,43
JJ Bumrah,V Kohli,112,3,115
Mohammed Shami,HH Pandya,12,3,16
CH Morris,KD Karthik,31,3,30
YS Chahal,AM Rahane,63,3,42
Mohammed Shami,KD Karthik,30,3,48
YS Chahal,BB McCullum,40,3,20
JJ Bumrah,SR Watson,47,3,25
JJ Bumrah,SPD Smith,95,3,57
Z Khan,HH Gibbs,41,3,32
HH Pandya,N Rana,38,3,30
SP Narine,SK Raina,129,3,111
JD Unadkat,PA Patel,53,3,45
YS Chahal,WP Saha,57,3,46
YS Chahal,YK Pathan,35,3,13
JD Unadkat,RG Sharma,44,3,39
SP Narine,AR Patel,24,3,18
P Kumar,SK Raina,64,3,85
HH Pandya,Shubman Gill,6,3,1
MM Sharma,WP Saha,16,3,12
P Kumar,V Sehwag,62,3,79
P Kumar,PA Patel,76,3,52
SP Narine,BB McCullum,35,3,32
JJ Bumrah,AD Russell,41,3,44
P Kumar,MK Pandey,24,3,7
HV Patel,AT Rayudu,64,3,42
MP Stoinis,KH Pandya,28,3,51
SP Narine,AB de Villiers,52,3,46
MM Sharma,S Dhawan,83,3,62
MM Sharma,AJ Finch,27,3,20
JH Kallis,V Kohli,64,3,29
YS Chahal,MA Agarwal,49,3,56
P Negi,SR Watson,38,3,24
A Kumble,AC Gilchrist,50,3,34
MM Sharma,KA Pollard,41,3,37
Z Khan,CH Gayle,52,3,34
JH Kallis,SR Tendulkar,42,3,39
JJ Bumrah,DJ Bravo,40,3,32
P Kumar,DA Warner,162,3,124
YS Chahal,RV Uthappa,53,3,44
YS Chahal,S Dhawan,81,3,66
P Negi,AJ Finch,16,3,14
YS Chahal,SR Watson,64,3,24
Z Khan,AC Gilchrist,59,3,42
SR Watson,V Sehwag,38,3,32
YK Pathan,PA Patel,56,3,31
YS Chahal,GJ Maxwell,36,3,22
MJ McClenaghan,Q de Kock,31,3,14
Harbhajan Singh,KP Pietersen,60,3,45
A Mishra,AT Rayudu,144,3,97
Sandeep Sharma,DA Warner,88,3,79
CH Morris,N Rana,15,3,28
Harbhajan Singh,M Vijay,92,3,43
Z Khan,V Sehwag,49,3,56
A Mishra,AM Rahane,127,3,96
AD Mascarenhas,G Gambhir,47,3,31
BW Hilfenhaus,DA Warner,16,3,2
PP Chawla,SR Watson,83,3,87
SR Watson,M Vijay,63,3,63
MJ McClenaghan,S Dhawan,77,3,69
Mustafizur Rahman,RA Jadeja,17,3,13
SL Malinga,KD Karthik,24,3,12
Harbhajan Singh,KL Rahul,79,3,81
SL Malinga,P Kumar,20,3,13
A Mishra,A Symonds,64,3,60
DS Kulkarni,CH Gayle,63,3,60
SR Watson,CH Gayle,38,3,21
CH Morris,RV Uthappa,74,3,53
SL Malinga,RA Jadeja,43,3,27
Mohammed Siraj,RR Pant,44,3,58
PP Chawla,GJ Maxwell,50,3,54
Harbhajan Singh,R Dravid,44,3,23
SR Watson,G Gambhir,124,3,60
SL Malinga,R Ashwin,22,3,17
PP Chawla,KD Karthik,66,3,56
SP Narine,WP Saha,61,3,70
SL Malinga,JH Kallis,103,3,84
DL Vettori,JH Kallis,72,3,45
Harbhajan Singh,R Ashwin,28,3,4
Sandeep Sharma,AT Rayudu,59,3,40
SL Malinga,PA Patel,47,3,25
SP Narine,SV Samson,63,3,39
SP Narine,SPD Smith,52,2,47
KH Pandya,RA Tripathi,10,2,1
KH Pandya,RA Jadeja,10,2,8
S Narwal,G Gambhir,8,2,9
KH Pandya,Q de Kock,16,2,6
AJ Tye,RA Tripathi,5,2,3
SP Narine,GJ Maxwell,55,2,52
SP Narine,Harbhajan Singh,6,2,0
KH Pandya,RV Uthappa,42,2,30
S Nadeem,MK Pandey,31,2,32
S Nadeem,DR Smith,61,2,59
JH Kallis,S Dhawan,33,2,43
JH Kallis,BJ Hodge,27,2,29
JH Kallis,SK Raina,83,2,72
SP Narine,IK Pathan,22,2,22
DJ Bravo,Yuvraj Singh,26,2,21
S Nadeem,PA Patel,23,2,16
S Nadeem,SV Samson,38,2,48
JH Kallis,AT Rayudu,57,2,37
S Nadeem,RV Uthappa,51,2,60
DJ Bravo,JC Buttler,32,2,24
S Nadeem,S Dhawan,41,2,64
KH Pandya,SR Watson,41,2,31
S Nadeem,SR Watson,44,2,38
JH Kallis,V Sehwag,47,2,60
S Sreesanth,AB de Villiers,26,2,18
AJ Tye,R Tewatia,19,2,6
S Sreesanth,DB Das,14,2,4
SP Narine,CJ Anderson,18,2,9
S Sreesanth,M Kaif,8,2,0
AR Patel,DA Warner,71,2,93
DJ Bravo,Gurkeerat Singh,9,2,3
KH Pandya,AM Rahane,76,2,48
KH Pandya,AT Rayudu,38,2,28
AJ Tye,JD Unadkat,6,2,4
DP Nannes,MS Dhoni,3,2,0
SP Narine,DA Warner,132,2,158
AB Dinda,MS Dhoni,26,2,41
AJ Tye,KA Pollard,12,2,12
S Aravind,DR Smith,18,2,15
AR Patel,CH Gayle,36,2,61
KV Sharma,MK Pandey,61,2,51
SP Narine,DJ Hooda,23,2,18
JH Kallis,AJ Finch,17,2,16
S Sreesanth,DA Warner,37,2,20
JH Kallis,Yuvraj Singh,65,2,70
S Sreesanth,AC Gilchrist,36,2,56
KV Sharma,Q de Kock,18,2,15
KV Sharma,KS Williamson,35,2,36
KH Pandya,KD Karthik,39,2,21
AB Dinda,MK Pandey,16,2,16
KH Pandya,KK Nair,9,2,5
AJ Tye,Mandeep Singh,20,2,12
DJ Bravo,IK Pathan,38,2,21
AB Dinda,KD Karthik,37,2,26
DJ Bravo,Shakib Al Hasan,27,2,44
SP Narine,KD Karthik,43,2,39
AB Dinda,DPMD Jayawardene,12,2,17
S Kaul,HH Pandya,21,2,7
KK Cooper,SK Raina,25,2,19
SP Narine,SS Tiwary,14,2,13
DJ Bravo,KV Sharma,36,2,17
KV Sharma,CH Gayle,7,2,1
AB Dinda,DA Warner,55,2,50
JH Kallis,LRPL Taylor,22,2,10
KK Cooper,SE Marsh,23,2,19
SP Narine,V Kohli,137,2,99
DJ Bravo,RA Tripathi,22,2,20
KK Cooper,PP Chawla,6,2,3
SP Narine,WD Parnell,18,2,5
KV Sharma,DA Miller,36,2,26
JH Kallis,M Vijay,40,2,22
S Sreesanth,NV Ojha,33,2,23
DJ Bravo,R Sathish,7,2,7
S Kaul,C de Grandhomme,45,2,25
S Kaul,AT Rayudu,40,2,41
