bowler,inning,over,ball,total_runs,is_wicket,overs_bowl,bowling_avg,bowling_strike_rate
AN Ahmed,504,3273,1331,515,15,84.0,34.333333333333336,33.6
CJ Anderson,459,3331,1169,525,14,76.5,37.5,32.785714285714285
Arshdeep Singh,303,1738,829,336,14,50.5,24.0,21.642857142857142
Ravi Bishnoi,470,3348,1156,381,14,78.33333333333333,27.214285714285715,33.57142857142857
AB McDonald,303,1773,665,263,14,50.5,18.785714285714285,21.642857142857142
Umar Gul,227,1664,593,198,14,37.833333333333336,14.142857142857142,16.214285714285715
Karanveer Singh,290,2189,779,323,14,48.333333333333336,23.071428571428573,20.714285714285715
R McLaren,546,3139,1366,558,14,91.0,39.857142857142854,39.0
K Gowtham,578,2324,1470,576,14,96.33333333333333,41.142857142857146,41.285714285714285
LH Ferguson,587,3147,1182,432,14,97.83333333333333,30.857142857142858,41.92857142857143
DJG Sammy,417,2494,879,354,14,69.5,25.285714285714285,29.785714285714285
MM Ali,396,2546,940,309,14,66.0,22.071428571428573,28.285714285714285
GD McGrath,462,2004,1169,366,14,77.0,26.142857142857142,33.0
JR Hopes,515,4278,1323,562,14,85.83333333333333,40.142857142857146,36.785714285714285
S Lamichhane,326,1707,742,297,14,54.333333333333336,21.214285714285715,23.285714285714285
Joginder Sharma,431,2928,1006,421,13,71.83333333333333,32.38461538461539,33.15384615384615
JDP Oram,396,2164,873,362,13,66.0,27.846153846153847,30.46153846153846
RS Bopara,319,2520,768,301,13,53.166666666666664,23.153846153846153,24.53846153846154
CK Langeveldt,192,1310,610,199,13,32.0,15.307692307692308,14.76923076923077
Kamran Khan,229,1377,626,233,13,38.166666666666664,17.923076923076923,17.615384615384617
BA Bhatt,489,2820,1077,408,13,81.5,31.384615384615383,37.61538461538461
SM Pollock,383,1168,994,307,13,63.833333333333336,23.615384615384617,29.46153846153846
AG Murtaza,440,2338,959,322,12,73.33333333333333,26.833333333333332,36.666666666666664
SC Ganguly,456,2723,994,370,12,76.0,30.833333333333332,38.0
J Suchith,413,2307,995,397,12,68.83333333333333,33.083333333333336,34.416666666666664
V Pratap Singh,352,1739,764,300,12,58.666666666666664,25.0,29.333333333333332
BCJ Cutting,446,3170,1031,430,12,74.33333333333333,35.833333333333336,37.166666666666664
Ankit Sharma,567,2689,1339,453,12,94.5,37.75,47.25
S Badree,368,1382,938,329,11,61.333333333333336,29.90909090909091,33.45454545454545
A Chandila,348,1080,819,245,11,58.0,22.272727272727273,31.636363636363637
JD Ryder,384,2491,857,314,11,64.0,28.545454545454547,34.90909090909091
JL Pattinson,381,1766,803,321,11,63.5,29.181818181818183,34.63636363636363
Pankaj Singh,448,2224,1129,472,11,74.66666666666667,42.90909090909091,40.72727272727273
KP Appanna,332,2286,799,291,11,55.333333333333336,26.454545454545453,30.181818181818183
BE Hendricks,263,1389,574,239,11,43.833333333333336,21.727272727272727,23.90909090909091
Mohammad Nabi,480,1999,1040,331,11,80.0,30.09090909090909,43.63636363636363
J Theron,348,2711,856,302,11,58.0,27.454545454545453,31.636363636363637
KMA Paul,266,2124,693,239,10,44.333333333333336,23.9,26.6
T Thushara,214,1216,528,164,10,35.666666666666664,16.4,21.4
Anand Rajan,273,1627,613,206,10,45.5,20.6,27.3
J Syed Mohammad,259,2054,700,286,10,43.166666666666664,28.6,25.9
MN Samuels,308,2055,780,285,10,51.333333333333336,28.5,30.8
DJ Hussey,413,3437,1149,485,10,68.83333333333333,48.5,41.3
B Laughlin,266,2196,668,284,10,44.333333333333336,28.4,26.6
Kartik Tyagi,289,2501,884,372,10,48.166666666666664,37.2,28.9
BAW Mendis,367,2248,868,288,9,61.166666666666664,32.0,40.77777777777778
SB Styris,333,2243,798,278,9,55.5,30.88888888888889,37.0
JEC Franklin,187,1733,555,225,9,31.166666666666668,25.0,20.77777777777778
SE Bond,285,1661,686,225,9,47.5,25.0,31.666666666666668
IS Sodhi,273,1727,638,204,9,45.5,22.666666666666668,30.333333333333332
P Parameswaran,229,1592,567,226,9,38.166666666666664,25.11111111111111,25.444444444444443
SMSM Senanayake,268,1215,694,211,9,44.666666666666664,23.444444444444443,29.77777777777778
Shahid Afridi,272,1846,666,237,9,45.333333333333336,26.333333333333332,30.22222222222222
Mohammad Asif,298,1699,722,307,9,49.666666666666664,34.111111111111114,33.111111111111114
TK Curran,255,2235,663,328,9,42.5,36.44444444444444,28.333333333333332
KP Pietersen,204,1676,654,218,9,34.0,24.22222222222222,22.666666666666668
AM Nayar,398,2330,865,323,9,66.33333333333333,35.888888888888886,44.22222222222222
M Ntini,303,1163,756,257,8,50.5,32.125,37.875
AA Chavan,406,1341,913,339,8,67.66666666666667,42.375,50.75
KC Cariappa,316,2007,812,349,8,52.666666666666664,43.625,39.5
I Udana,288,1874,667,286,8,48.0,35.75,36.0
S Randiv,315,1781,652,223,8,52.5,27.875,39.375
A Mithun,431,3275,1182,477,8,71.83333333333333,59.625,53.875
GC Viljoen,216,1598,541,229,8,36.0,28.625,27.0
C de Grandhomme,297,2323,851,323,7,49.5,46.142857142857146,42.42857142857143
DJ Hooda,313,1953,869,326,7,52.166666666666664,46.57142857142857,44.714285714285715
HF Gurney,262,1614,616,239,7,43.666666666666664,34.142857142857146,37.42857142857143
V Shankar,242,1839,669,229,7,40.333333333333336,32.714285714285715,34.57142857142857
B Akhil,269,2189,689,246,7,44.833333333333336,35.142857142857146,38.42857142857143
P Amarnath,222,1380,462,241,7,37.0,34.42857142857143,31.714285714285715
Y Venugopal Rao,314,2109,798,338,7,52.333333333333336,48.285714285714285,44.857142857142854
R Shukla,189,1183,492,217,7,31.5,31.0,27.0
N Rana,151,1036,391,143,7,25.166666666666668,20.428571428571427,21.571428571428573
AM Salvi,224,1305,567,205,7,37.333333333333336,29.285714285714285,32.0
RR Raje,211,1658,515,214,7,35.166666666666664,30.571428571428573,30.142857142857142
B Stanlake,200,905,546,200,7,33.333333333333336,28.571428571428573,28.571428571428573
PC Valthaty,238,1758,540,207,7,39.666666666666664,29.571428571428573,34.0
TL Suman,206,1613,539,198,7,34.333333333333336,28.285714285714285,29.428571428571427
VS Malik,294,1046,764,268,6,49.0,44.666666666666664,49.0
S Tyagi,359,967,805,304,6,59.833333333333336,50.666666666666664,59.833333333333336
S Narwal,151,695,414,203,6,25.166666666666668,33.833333333333336,25.166666666666668
R Sathish,246,1609,520,233,6,41.0,38.833333333333336,41.0
M de Lange,206,919,435,171,6,34.333333333333336,28.5,34.333333333333336
S Kaushik,332,2008,756,304,6,55.333333333333336,50.666666666666664,55.333333333333336
Jaskaran Singh,124,1000,412,174,6,20.666666666666668,29.0,20.666666666666668
FH Edwards,252,1224,551,160,6,42.0,26.666666666666668,42.0
JE Taylor,169,1286,441,167,6,28.166666666666668,27.833333333333332,28.166666666666668
V Sehwag,198,1505,486,236,6,33.0,39.333333333333336,33.0
SB Bangar,246,1462,546,221,6,41.0,36.833333333333336,41.0
KMDN Kulasekara,144,722,395,122,6,24.0,20.333333333333332,24.0
J Yadav,328,1648,952,290,6,54.666666666666664,48.333333333333336,54.666666666666664
RV Gomez,145,1026,343,130,6,24.166666666666668,21.666666666666668,24.166666666666668
MJ Santner,143,1090,469,147,6,23.833333333333332,24.5,23.833333333333332
SS Cottrell,192,727,500,177,6,32.0,29.5,32.0
AS Joseph,97,410,200,89,6,16.166666666666668,14.833333333333334,16.166666666666668
Shoaib Ahmed,169,977,364,154,5,28.166666666666668,30.8,33.8
S Ladda,166,1447,504,225,5,27.666666666666668,45.0,33.2
Gurkeerat Singh,140,684,301,97,5,23.333333333333332,19.4,28.0
TS Mills,171,1078,399,157,5,28.5,31.4,34.2
Shoaib Akhtar,92,60,176,54,5,15.333333333333334,10.8,18.4
L Ablish,45,493,169,76,5,7.5,15.2,9.0
S Dube,102,962,232,83,5,17.0,16.6,20.4
O Thomas,69,475,231,85,5,11.5,17.0,13.8
PD Collingwood,125,1095,321,101,5,20.833333333333332,20.2,25.0
TM Dilshan,355,2463,974,368,5,59.166666666666664,73.6,71.0
KL Nagarkoti,263,1689,575,233,5,43.833333333333336,46.6,52.6
A Choudhary,164,894,402,144,5,27.333333333333332,28.8,32.8
AF Milne,180,998,428,185,5,30.0,37.0,36.0
SB Wagh,140,500,401,147,5,23.333333333333332,29.4,28.0
V Kohli,344,2907,974,371,5,57.333333333333336,74.2,68.8
AP Dole,99,523,282,114,5,16.5,22.8,19.8
Avesh Khan,302,1411,665,301,5,50.333333333333336,60.2,60.4
JP Behrendorff,185,539,420,168,5,30.833333333333332,33.6,37.0
Ankit Soni,187,1006,400,145,4,31.166666666666668,36.25,46.75
Y Nagar,104,768,276,125,4,17.333333333333332,31.25,26.0
DJ Muthuswami,132,360,294,108,4,22.0,27.0,33.0
D du Preez,61,367,154,56,4,10.166666666666666,14.0,15.25
Parvez Rasool,278,1506,708,273,4,46.333333333333336,68.25,69.5
