,id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken,fantasy_points
187,187,J Suchith,16,27,0,47,1,51
188,188,J Syed Mohammad,7,14,0,29,1,38
189,189,J Theron,2,5,0,35,1,29
190,190,J Yadav,0,0,0,108,2,50
191,191,JA Morkel,22,24,0,30,1,47
192,192,JC Archer,14,15,0,21,1,39
193,193,JC Buttler,30,35,0,0,0,34
194,194,JD Ryder,16,20,0,40,1,44
195,195,JD Unadkat,5,8,0,32,1,33
196,196,JDP Oram,11,13,0,34,1,37
197,197,JDS Neesham,6,12,0,250,3,84
198,198,JE Taylor,0,0,0,32,1,25
199,199,JEC Franklin,17,29,0,21,1,52
200,200,JH Kallis,17,27,0,43,1,51
201,201,JJ Bumrah,5,10,0,25,1,35
202,202,JJ Roy,26,29,0,0,0,29
203,203,JJ van der Wath,4,9,0,46,2,58
204,204,JL Denly,0,0,0,0,0,0
205,205,JL Pattinson,17,15,0,41,1,39
206,206,JM Bairstow,33,39,0,0,0,39
207,207,JM Kemp,6,13,0,17,1,37
208,208,JO Holder,9,14,0,23,1,38
209,209,JP Duminy,36,41,0,66,2,89
210,210,JP Faulkner,16,19,0,25,1,43
211,211,JPR Scantlebury-Searles,10,8,0,72,2,58
212,212,JR Hopes,19,24,0,60,2,72
213,213,JR Philippe,17,19,0,0,0,19
214,214,Jaskaran Singh,1,4,0,24,1,29
215,215,Joginder Sharma,6,9,0,44,1,33
216,216,K Goel,9,15,0,0,0,15
217,217,K Gowtham,13,14,0,70,2,63
218,218,K Rabada,6,13,0,13,1,37
219,219,K Upadhyay,0,0,0,0,0,0
220,220,KA Pollard,28,28,0,35,1,52
221,221,KAJ Roach,5,10,0,0,0,10
222,222,KB Arun Karthik,6,10,0,0,0,10
223,223,KC Cariappa,5,8,0,70,2,58
224,224,KC Sangakkara,20,24,0,0,0,24
225,225,KD Karthik,21,25,0,0,0,24
226,226,KH Pandya,25,26,0,50,1,51
227,227,KJ Abbott,18,13,0,300,4,115
228,228,KK Ahmed,0,0,0,17,1,25
229,229,KK Cooper,12,12,0,21,1,36
230,230,KK Nair,19,23,0,0,0,23
231,231,KL Nagarkoti,3,7,0,100,2,56
232,232,KL Rahul,36,42,0,0,0,42
233,233,KM Jadhav,17,22,0,0,0,21
234,234,KMA Paul,2,4,0,25,1,29
235,235,KMDN Kulasekara,0,0,0,20,1,25
236,236,KP Appanna,0,2,0,32,1,27
237,237,KP Pietersen,27,34,0,22,1,57
238,238,KS Williamson,35,39,0,0,0,39
239,239,KV Sharma,10,15,0,30,1,39
240,240,KW Richardson,7,12,0,20,1,36
241,241,Kamran Akmal,32,32,0,0,0,31
242,242,Kamran Khan,0,3,0,12,1,28
243,243,Karanveer Singh,4,12,0,19,1,36
244,244,Kartik Tyagi,1,4,0,43,2,53
245,245,Kuldeep Yadav,6,14,0,36,1,38
246,246,L Ablish,0,0,0,6,1,25
247,247,L Balaji,2,5,0,28,1,29
248,248,L Ronchi,7,11,0,0,0,11
249,249,LA Carseldine,17,27,0,2,0,27
250,250,LA Pomersbach,19,27,0,0,0,27
251,251,LE Plunkett,0,1,0,157,2,51
252,252,LH Ferguson,64,44,0,51,1,67
253,253,LJ Wright,30,26,0,142,3,99
