id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken
362,R Dravid,20,28,0,0,0
363,R McLaren,12,19,0,63,2
364,R Ninan,0,3,0,10,1
365,R Parag,18,24,0,225,3
366,R Rampaul,6,10,0,26,1
367,R Sathish,11,16,0,65,2
368,R Sharma,3,6,0,36,1
369,R Shukla,4,9,0,35,1
370,R Tewatia,21,28,0,32,1
371,R Vinay Kumar,7,11,0,24,1
372,RA Jadeja,19,24,0,37,1
373,RA Tripathi,23,26,0,0,0
374,RD Chahar,7,8,0,37,1
375,RD Gaikwad,40,68,0,0,0
376,RE Levi,8,13,0,0,0
377,RE van der Merwe,9,13,0,22,1
378,RG More,0,0,0,160,3
379,RG Sharma,25,29,0,38,1
380,RJ Harris,5,9,0,24,1
381,RJ Peterson,6,10,0,15,1
382,RJ Quiney,8,14,0,0,0
383,RK Bhui,0,3,0,0,0
384,RK Singh,7,11,0,0,0
385,RN ten Doeschate,18,19,0,53,1
386,RP Singh,1,3,0,27,1
387,RR Bhatkal,0,0,0,0,0
388,RR Pant,33,35,0,0,0
389,RR Powar,19,22,0,63,1
390,RR Raje,16,20,0,38,1
391,RR Rossouw,4,8,0,0,0
392,RR Sarwan,11,24,0,0,0
393,RS Bopara,21,27,0,23,1
394,RS Gavaskar,0,2,0,0,0
395,RS Sodhi,0,0,0,0,0
396,RT Ponting,5,11,0,0,0
397,RV Gomez,6,7,0,21,1
398,RV Uthappa,21,27,0,0,0
399,Rashid Khan,7,8,0,22,1
400,Rasikh Salam,0,0,0,0,0
401,Ravi Bishnoi,2,7,0,37,1
402,S Anirudha,16,17,0,0,0
403,S Aravind,11,19,0,22,1
404,S Badree,0,2,0,40,1
405,S Badrinath,25,30,0,0,0
406,S Chanderpaul,3,8,0,0,0
407,S Dhawan,29,34,0,15,1
408,S Dube,13,15,0,13,1
409,S Gopal,9,13,0,25,1
410,S Kaul,1,4,0,30,1
411,S Kaushik,0,0,0,115,2
412,S Ladda,0,0,0,62,2
413,S Lamichhane,0,0,0,20,1
414,S Nadeem,0,2,0,47,1
415,S Narwal,8,9,0,34,1
416,S Rana,14,18,0,0,0
417,S Randiv,0,2,0,44,1
418,S Sohal,16,20,0,0,0
419,S Sreesanth,4,11,0,36,1
420,S Sriram,6,15,0,0,0
421,S Tyagi,0,0,0,123,2
422,S Vidyut,17,18,0,24,1
423,SA Abbott,13,15,0,0,0
424,SA Asnodkar,18,22,0,0,0
425,SA Yadav,28,31,0,0,0
426,SB Bangar,4,8,0,62,2
427,SB Jakati,13,14,0,44,1
428,SB Joshi,0,3,0,253,3
429,SB Styris,10,18,0,46,1
430,SB Wagh,0,1,0,34,1
431,SC Ganguly,16,24,0,48,1
432,SD Chitnis,11,14,0,32,1
433,SD Lad,8,15,0,0,0
434,SE Bond,0,1,0,32,1
435,SE Marsh,34,38,0,0,0
436,SE Rutherford,11,14,0,130,2
437,SJ Srivastava,4,5,0,37,1
438,SK Raina,30,33,0,79,2
439,SK Trivedi,2,5,0,35,1
440,SK Warne,5,10,0,28,1
441,SL Malinga,3,7,0,18,1
442,SM Curran,25,23,0,28,1
443,SM Harwood,0,0,0,36,1
444,SM Katich,15,24,0,0,0
445,SM Pollock,16,18,0,28,1
446,SMSM Senanayake,4,10,0,28,1
447,SN Khan,20,22,0,0,0
448,SN Thakur,7,9,0,29,1
449,SO Hetmyer,19,21,0,0,0
450,SP Fleming,14,21,0,0,0
451,SP Goswami,11,14,0,0,0
452,SP Jackson,13,19,0,0,0
453,SP Narine,18,18,0,25,1
454,SPD Smith,25,32,0,0,0
455,SR Tendulkar,24,32,0,0,0
456,SR Watson,25,30,0,29,1
457,SS Cottrell,0,0,0,39,1
458,SS Iyer,25,30,0,0,0
459,SS Shaikh,0,0,0,0,0
460,SS Tiwary,22,28,0,0,0
461,ST Jayasuriya,24,26,0,31,1
462,STR Binny,16,20,0,35,1
463,SV Samson,22,28,0,0,0
464,SW Billings,16,17,0,0,0
465,SW Tait,4,7,0,34,1
466,Sachin Baby,13,15,0,0,0
467,Salman Butt,25,27,0,0,0
468,Sandeep Sharma,3,8,0,25,1
469,Shahbaz Ahmed,0,0,0,28,1
470,Shahid Afridi,11,10,0,32,1
471,Shakib Al Hasan,18,21,0,30,1
472,Shivam Mavi,1,4,0,38,1
473,Shivam Sharma,8,5,0,68,2
474,Shoaib Ahmed,0,0,0,41,1
475,Shoaib Akhtar,0,2,0,8,0
476,Shoaib Malik,9,13,0,91,2
477,Shubman Gill,29,34,0,0,0
478,Sohail Tanvir,9,12,0,7,0
479,Sunny Gupta,0,0,0,0,0
480,Sunny Singh,8,10,0,0,0
481,Swapnil Singh,2,4,0,345,4
482,T Banton,4,9,0,0,0
483,T Henderson,3,11,0,82,2
484,T Kohli,1,3,0,0,0
485,T Natarajan,0,0,0,39,1
486,T Taibu,11,10,0,0,0
487,T Thushara,2,6,0,14,1
488,TA Boult,1,4,0,25,1
489,TD Paine,1,5,0,0,0
490,TG Southee,17,19,0,65,2
491,TK Curran,16,26,0,42,2
492,TL Suman,15,22,0,34,1
493,TM Dilshan,20,28,0,216,3
494,TM Head,37,34,0,34,1
495,TM Srivastava,3,8,0,0,0
496,TR Birt,12,15,0,0,0
497,TS Mills,0,2,0,44,1
498,TU Deshpande,18,21,0,133,3
499,U Kaul,0,0,0,0,0
500,UA Birla,1,7,0,0,0
501,UBT Chand,9,15,0,0,0
502,UT Khawaja,16,25,0,0,0
503,UT Yadav,4,8,0,28,1
504,Umar Gul,15,13,0,9,1
505,V Kohli,31,36,0,210,3
506,V Pratap Singh,0,0,0,30,1
507,V Sehwag,26,27,0,54,2
508,V Shankar,25,31,0,45,1
509,VH Zol,15,14,0,0,0
510,VR Aaron,5,12,0,43,1
511,VRV Singh,4,4,0,48,1
512,VS Malik,5,7,0,90,2
513,VS Yeligati,1,2,0,0,0
514,VVS Laxman,12,17,0,0,0
515,VY Mahesh,2,7,0,20,1
516,Vishnu Vinod,4,6,0,0,0
517,W Jaffer,11,18,0,0,0
518,WA Mota,6,11,0,23,1
519,WD Parnell,4,7,0,28,1
520,WP Saha,23,25,0,0,0
521,WPUJC Vaas,10,11,0,15,1
522,Washington Sundar,11,15,0,46,1
523,X Thalaivan Sargunam,5,10,0,0,0
524,Y Gnaneswara Rao,9,19,0,0,0
