batsman,inning,batsman_runs,is_wicket,strike,batting_avg
AA Chavan,13,12,1,109.0909091,12
Karanveer Singh,34,12,1,70.58823529,12
MG Johnson,232,167,14,99.4047619,11.92857143
R Vinay Kumar,452,310,26,107.266436,11.92307692
R Bhatia,449,342,29,117.9310345,11.79310345
Yashpal Singh,113,47,4,70.14925373,11.75
PP Chawla,772,584,50,107.948244,11.68
HV Patel,131,128,11,129.2929293,11.63636364
WPUJC Vaas,88,81,7,110.9589041,11.57142857
DS Kulkarni,203,104,9,92.03539823,11.55555556
PR Shah,122,92,8,94.84536082,11.5
M Morkel,166,126,11,135.483871,11.45454545
R Ashwin,584,412,36,107.2916667,11.44444444
AJ Tye,118,91,8,115.1898734,11.375
RT Ponting,173,91,8,70.54263566,11.375
L Ronchi,50,34,3,91.89189189,11.33333333
S Sreesanth,75,34,3,59.64912281,11.33333333
WA Mota,90,56,5,73.68421053,11.2
DL Chahar,109,78,7,134.4827586,11.14285714
MS Gony,112,99,9,130.2631579,11
RK Singh,109,77,7,97.46835443,11
M Rawat,126,55,5,78.57142857,11
GB Hogg,44,22,2,100,11
DNT Zoysa,16,11,1,122.2222222,11
T Henderson,31,11,1,68.75,11
M Ntini,25,11,1,57.89473684,11
B Akhil,86,76,7,133.3333333,10.85714286
Sunny Singh,51,43,4,138.7096774,10.75
RJ Peterson,50,32,3,100,10.66666667
A Chopra,78,53,5,70.66666667,10.6
P Dogra,201,127,12,90.07092199,10.58333333
SK Warne,333,198,19,90.4109589,10.42105263
T Taibu,26,31,3,119.2307692,10.33333333
P Simran Singh,66,31,3,93.93939394,10.33333333
R Rampaul,77,51,5,98.07692308,10.2
KB Arun Karthik,79,51,5,96.22641509,10.2
Shahid Afridi,69,81,8,176.0869565,10.125
P Kumar,466,340,34,105.2631579,10
JJ Bumrah,69,40,4,95.23809524,10
AC Thomas,36,20,2,105.2631579,10
Harpreet Singh,33,20,2,76.92307692,10
KAJ Roach,18,10,1,111.1111111,10
D du Preez,13,10,1,76.92307692,10
AG Murtaza,23,10,1,71.42857143,10
BB Sran,25,10,1,71.42857143,10
SMSM Senanayake,21,10,1,58.82352941,10
X Thalaivan Sargunam,17,10,1,58.82352941,10
AG Paunikar,88,49,5,80.32786885,9.8
RJ Harris,175,117,12,104.4642857,9.75
NM Coulter-Nile,82,77,8,113.2352941,9.625
SN Thakur,55,48,5,114.2857143,9.6
A Mukund,24,19,2,82.60869565,9.5
R Shukla,41,19,2,82.60869565,9.5
DR Martyn,26,19,2,73.07692308,9.5
S Narwal,39,37,4,127.5862069,9.25
Mohammed Siraj,81,46,5,88.46153846,9.2
AD Nath,130,90,10,90.90909091,9
Joginder Sharma,49,36,4,120,9
Anureet Singh,86,36,4,76.59574468,9
M Markande,43,27,3,90,9
Harmeet Singh,18,18,2,150,9
JJ van der Wath,34,18,2,105.8823529,9
DS Lehmann,36,18,2,94.73684211,9
T Banton,36,18,2,81.81818182,9
AA Noffke,24,9,1,75,9
RR Rossouw,98,53,6,103.9215686,8.833333333
Sandeep Sharma,108,44,5,74.57627119,8.8
MM Sharma,180,122,14,101.6666667,8.714285714
UT Yadav,224,122,14,90.37037037,8.714285714
Rashid Khan,152,139,16,140.4040404,8.6875
NL McCullum,39,26,3,113.0434783,8.666666667
RD Chahar,19,17,2,100,8.5
Parvez Rasool,35,17,2,85,8.5
S Chanderpaul,57,25,3,75.75757576,8.333333333
